Stage,Cycle,Instr,Op,Fct3,Fct7,Rd,Rs1,Rs2,Imm,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
Fetch,1,,,,,,,,,,,,,,,,
Decode,2,lw,3,2,,7,10,,0,,,,,,,,
Execute,3,lw,3,2,,7,10,,0,,1,,,,,,
Memory,4,lw,3,2,,7,10,,0,,,,,1,,,
Write Back,5,lw,3,2,,7,10,,0,1,,,,,,1,
Fetch,6,,,,,,,,,,,,,,,,
Decode,7,addi,19,0,,5,0,,3,,,,,,,,
Execute,8,addi,19,0,,5,0,,3,,1,,,,,,
Memory,9,addi,19,0,,5,0,,3,,,,,,,,
Write Back,10,addi,19,0,,5,0,,3,1,,,,,,0,
Fetch,11,,,,,,,,,,,,,,,,
Decode,12,Label:,64,,,,,,,,,,,,,,
Execute,13,Label:,64,,,,,,,,,,,,,,
Memory,14,Label:,64,,,,,,,,,,,,,,
Write Back,15,Label:,64,,,,,,,,,,,,,,
Fetch,16,,,,,,,,,,,,,,,,
Decode,17,lw,3,2,,6,7,,0,,,,,,,,
Execute,18,lw,3,2,,6,7,,0,,1,,,,,,
Memory,19,lw,3,2,,6,7,,0,,,,,1,,,
Write Back,20,lw,3,2,,6,7,,0,1,,,,,,1,
Fetch,21,,,,,,,,,,,,,,,,
Decode,22,addi,19,0,,6,6,,1,,,,,,,,
Execute,23,addi,19,0,,6,6,,1,,1,,,,,,
Memory,24,addi,19,0,,6,6,,1,,,,,,,,
Write Back,25,addi,19,0,,6,6,,1,1,,,,,,0,
Fetch,26,,,,,,,,,,,,,,,,
Decode,27,sw,35,2,,,7,6,0,,,,,,,,
Execute,28,sw,35,2,,,7,6,0,,1,,,,,,
Memory,29,sw,35,2,,,7,6,0,,,,,,1,,
Write Back,30,sw,35,2,,,7,6,0,,,,,,,,
Fetch,31,,,,,,,,,,,,,,,,
Decode,32,addi,19,0,,7,7,,4,,,,,,,,
Execute,33,addi,19,0,,7,7,,4,,1,,,,,,
Memory,34,addi,19,0,,7,7,,4,,,,,,,,
Write Back,35,addi,19,0,,7,7,,4,1,,,,,,0,
Fetch,36,,,,,,,,,,,,,,,,
Decode,37,addi,19,0,,5,5,,-1,,,,,,,,
Execute,38,addi,19,0,,5,5,,-1,,1,,,,,,
Memory,39,addi,19,0,,5,5,,-1,,,,,,,,
Write Back,40,addi,19,0,,5,5,,-1,1,,,,,,0,
Fetch,41,,,,,,,,,,,,,,,,
Decode,42,bne,99,1,,,5,0,64,,,,,,,,1
Execute,43,bne,99,1,,,5,0,64,,0,,,,,,
Memory,44,bne,99,1,,,5,0,64,,,,,,,,
Write Back,45,bne,99,1,,,5,0,64,,,,,,,,
Fetch,46,,,,,,,,,,,,,,,,
Decode,47,lw,3,2,,6,7,,0,,,,,,,,
Execute,48,lw,3,2,,6,7,,0,,1,,,,,,
Memory,49,lw,3,2,,6,7,,0,,,,,1,,,
Write Back,50,lw,3,2,,6,7,,0,1,,,,,,1,
Fetch,51,,,,,,,,,,,,,,,,
Decode,52,addi,19,0,,6,6,,1,,,,,,,,
Execute,53,addi,19,0,,6,6,,1,,1,,,,,,
Memory,54,addi,19,0,,6,6,,1,,,,,,,,
Write Back,55,addi,19,0,,6,6,,1,1,,,,,,0,
Fetch,56,,,,,,,,,,,,,,,,
