Stage,Cycle,Instr,Op,Fct3,Fct7,Rd,Rs1,Rs2,Imm,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
Fetch,1,,,,,,,,,,,,,,,,
Decode,2,lw,3,2,,7,10,,0,,,,,,,,
Execute,3,lw,3,2,,7,10,,0,,1,,,,,,
Memory,4,lw,3,2,,7,10,,0,,,,,1,,,
Write Back,5,lw,3,2,,7,10,,0,1,,,,,,1,
Fetch,6,,,,,,,,,,,,,,,,
Decode,7,lw,3,2,,6,7,,0,,,,,,,,
Execute,8,lw,3,2,,6,7,,0,,1,,,,,,
Memory,9,lw,3,2,,6,7,,0,,,,,1,,,
Write Back,10,lw,3,2,,6,7,,0,1,,,,,,1,
Fetch,11,,,,,,,,,,,,,,,,
Decode,12,lw,3,2,,5,7,,4,,,,,,,,
Execute,13,lw,3,2,,5,7,,4,,1,,,,,,
Memory,14,lw,3,2,,5,7,,4,,,,,1,,,
Write Back,15,lw,3,2,,5,7,,4,1,,,,,,1,
Fetch,16,,,,,,,,,,,,,,,,
Decode,17,lw,3,2,,4,7,,8,,,,,,,,
Execute,18,lw,3,2,,4,7,,8,,1,,,,,,
Memory,19,lw,3,2,,4,7,,8,,,,,1,,,
Write Back,20,lw,3,2,,4,7,,8,1,,,,,,1,
Fetch,21,,,,,,,,,,,,,,,,
Decode,22,addi,19,0,,6,6,,1,,,,,,,,
Execute,23,addi,19,0,,6,6,,1,,1,,,,,,
Memory,24,addi,19,0,,6,6,,1,,,,,,,,
Write Back,25,addi,19,0,,6,6,,1,1,,,,,,0,
Fetch,26,,,,,,,,,,,,,,,,
Decode,27,addi,19,0,,5,5,,1,,,,,,,,
Execute,28,addi,19,0,,5,5,,1,,1,,,,,,
Memory,29,addi,19,0,,5,5,,1,,,,,,,,
Write Back,30,addi,19,0,,5,5,,1,1,,,,,,0,
Fetch,31,,,,,,,,,,,,,,,,
Decode,32,addi,19,0,,4,4,,1,,,,,,,,
Execute,33,addi,19,0,,4,4,,1,,1,,,,,,
Memory,34,addi,19,0,,4,4,,1,,,,,,,,
Write Back,35,addi,19,0,,4,4,,1,1,,,,,,0,
Fetch,36,,,,,,,,,,,,,,,,
Decode,37,sw,35,2,,,7,6,0,,,,,,,,
Execute,38,sw,35,2,,,7,6,0,,1,,,,,,
Memory,39,sw,35,2,,,7,6,0,,,,,,1,,
Write Back,40,sw,35,2,,,7,6,0,,,,,,,,
Fetch,41,,,,,,,,,,,,,,,,
Decode,42,sw,35,2,,,7,5,4,,,,,,,,
Execute,43,sw,35,2,,,7,5,4,,1,,,,,,
Memory,44,sw,35,2,,,7,5,4,,,,,,1,,
Write Back,45,sw,35,2,,,7,5,4,,,,,,,,
Fetch,46,,,,,,,,,,,,,,,,
Decode,47,sw,35,2,,,7,4,8,,,,,,,,
Execute,48,sw,35,2,,,7,4,8,,1,,,,,,
Memory,49,sw,35,2,,,7,4,8,,,,,,1,,
Write Back,50,sw,35,2,,,7,4,8,,,,,,,,
