Stage,Cycle,Instr,Op,Fct3,Fct7,Rd,Rs1,Rs2,Imm,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
Fetch,1,,,,,,,,,,,,,,,,
Decode,2,sub,51,0,32,2,1,3,,,,00,00,,,,
Execute,3,sub,51,0,32,2,1,3,,,0,,,,,,
Memory,4,sub,51,0,32,2,1,3,,,0,,,,,,
Write Back,5,sub,51,0,32,2,1,3,,1,0,,,,,0,
Fetch,6,,,,,,,,,,,,,,,,
Decode,7,and,51,7,0,12,2,5,,,,10,00,,,,
Execute,8,and,51,7,0,12,2,5,,,0,,,,,,
Memory,9,and,51,7,0,12,2,5,,,0,,,,,,
Write Back,10,and,51,7,0,12,2,5,,1,0,,,,,0,
Fetch,11,,,,,,,,,,,,,,,,
Decode,12,or,51,6,0,13,6,2,,,,00,01,,,,
Execute,13,or,51,6,0,13,6,2,,,0,,,,,,
Memory,14,or,51,6,0,13,6,2,,,0,,,,,,
Write Back,15,or,51,6,0,13,6,2,,1,0,,,,,0,
Fetch,16,,,,,,,,,,,,,,,,
Decode,17,and,51,7,0,2,12,13,,,,01,10,,,,
Execute,18,and,51,7,0,2,12,13,,,0,,,,,,
Memory,19,and,51,7,0,2,12,13,,,0,,,,,,
Write Back,20,and,51,7,0,2,12,13,,1,0,,,,,0,
Fetch,21,,,,,,,,,,,,,,,,
Decode,22,add,51,0,0,14,2,2,,,,10,10,,,,
Execute,23,add,51,0,0,14,2,2,,,0,,,,,,
Memory,24,add,51,0,0,14,2,2,,,0,,,,,,
Write Back,25,add,51,0,0,14,2,2,,1,0,,,,,0,
